shame_id,author_and_title,original_id,author,author_fname,author_lname,author_gender,title,word_count,publ_year,publ_year_clean,doc_link,source_corpus,comment
SHAME_143,Ivo Šorli-Plameni,KDSP148,Ivo Šorli,Ivo,Šorli,M,Plameni,40831,1905.0,1905.0,https://www.dlib.si/details/URN:NBN:SI:DOC-ABDY26Q9,KDSP,
SHAME_144,Ivo Šorli-Pot za razpotjem,KDSP158,Ivo Šorli,Ivo,Šorli,M,Pot za razpotjem,34784,1906.0,1906.0,https://www.dlib.si/details/URN:NBN:SI:DOC-5WIBBRNQ,KDSP,
SHAME_145,Ivo Šorli-Romantiki življenja,KDSP157,Ivo Šorli,Ivo,Šorli,M,Romantiki življenja,27089,1906.0,1906.0,https://sl.wikisource.org/wiki/Romantiki_%C5%BEivljenja,KDSP,
SHAME_146,Ivo Šorli-Štefan Zaplotnik,KDSP249,Ivo Šorli,Ivo,Šorli,M,Štefan Zaplotnik,33640,1916.0,1916.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV00325.xml,KDSP,
SHAME_147,Ivo Trošt-Dve svatbi,KDSP088,Ivo Trošt,Ivo,Trošt,M,Dve svatbi,24577,1895.0,1895.0,https://sl.wikisource.org/wiki/Dve_svatbi,KDSP,
SHAME_148,Ivo Trošt-Pod Robom,KDSP243,Ivo Trošt,Ivo,Trošt,M,Pod Robom,22252,1915.0,1915.0,https://sl.wikisource.org/wiki/Pod_Robom,KDSP,
SHAME_149,Ivo Trošt-Smodin,KDSP089,Ivo Trošt,Ivo,Trošt,M,Smodin,29536,1895.0,1895.0,https://www.dlib.si/details/URN:NBN:SI:DOC-SXPXI2NA,KDSP,
SHAME_150,Ivo Trošt-Temni oblaki,KDSP087,Ivo Trošt,Ivo,Trošt,M,Temni oblaki,32037,1895.0,1895.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV00421.xml,KDSP,
SHAME_151,Ivo Trošt-V srca globini,KDSP149,Ivo Trošt,Ivo,Trošt,M,V srca globini,24615,1905.0,1905.0,https://www.dlib.si/details/URN:NBN:SI:DOC-UNW4AEPK,KDSP,
SHAME_152,Izidor Cankar-S poti,KDSP225,Izidor Cankar,Izidor,Cankar,M,S poti,26947,1913.0,1913.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV30001.xml,KDSP,
SHAME_153,Jakob Alešovec-Bankovčar,KDSP035,Jakob Alešovec,Jakob,Alešovec,M,Bankovčar,33280,1880.0,1880.0,https://sl.wikisource.org/wiki/Bankov%C4%8Dar,KDSP,
SHAME_154,Jakob Alešovec-Iskren zagovornik: Iz sodnijskega življenja,,Jakob Alešovec,Jakob,Alešovec,M,Iskren zagovornik: Iz sodnijskega življenja,4992,1875.0,1875.0,https://lit.ijs.si/zagovor.html ,Wikivir - leposlovje,
SHAME_155,Jakob Alešovec-Ljubljanske slike,KDSP033,Jakob Alešovec,Jakob,Alešovec,M,Ljubljanske slike,63314,1879.0,1879.0,https://sl.wikisource.org/wiki/Ljubljanske_slike,KDSP,
SHAME_156,Jakob Alešovec-Ne v Ameriko!,KDSP039,Jakob Alešovec,Jakob,Alešovec,M,Ne v Ameriko!,60780,1883.0,1883.0,https://sl.wikisource.org/wiki/Ne_v_Ameriko,KDSP,
SHAME_157,Jakob Alešovec-Petelinov Janez,KDSP034,Jakob Alešovec,Jakob,Alešovec,M,Petelinov Janez,34335,1880.0,1880.0,https://sl.wikisource.org/wiki/Petelinov_Janez,KDSP,
SHAME_158,Jakob Bedenek-Od pluga do krone,KDSP068,Jakob Bedenek,Jakob,Bedenek,M,Od pluga do krone,81097,1891.0,1891.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV00024.xml,KDSP,
SHAME_159,Jakob Bedenek-Sonce in senca,KDSP067,Jakob Bedenek,Jakob,Bedenek,M,Sonce in senca,28187,1891.0,1891.0,https://sl.wikisource.org/wiki/Solnce_in_senca,KDSP,
SHAME_160,Jakob Sket-Miklova Zala,KDSP047,Jakob Sket,Jakob,Sket,M,Miklova Zala,34063,1884.0,1884.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV20002.xml,KDSP,
SHAME_161,Jakob Sket-Milko Vogrin,KDSP044,Jakob Sket,Jakob,Sket,M,Milko Vogrin,76274,1883.0,1883.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV00172.xml,KDSP,
SHAME_162,Jakob Sket-Žrtva ljubosumnosti,KDSP046,Jakob Sket,Jakob,Sket,M,Žrtva ljubosumnosti,27665,1884.0,1884.0,https://sl.wikisource.org/wiki/%C5%BDrtva_ljubosumnosti,KDSP,
SHAME_163,Janez Cigler-Deteljica ali življenje treh kranjskih bratov francoskih soldatov,KDSP003,Janez Cigler,Janez,Cigler,M,Deteljica ali življenje treh kranjskih bratov francoskih soldatov,34616,1863.0,1863.0,https://sl.wikisource.org/wiki/Deteljica_ali_%C5%BEivljenje_treh_kranjskih_bratov_francoskih_soldatov,KDSP,
SHAME_164,"Janez Cigler-Kortonica, koroška deklica",Cigler_Kortonica1866,Janez Cigler,Janez,Cigler,M,"Kortonica, koroška deklica",25734,1866.0,1866.0,,PriLit,
SHAME_165,Janez Cigler-Sreča v nesreči,KDSP001,Janez Cigler,Janez,Cigler,M,Sreča v nesreči,33819,1836.0,1836.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV10003.xml,KDSP,
SHAME_166,"Janez Cigler-Živlenje s. Heme, brumne koroške grafine",Cigler_Hema1839,Janez Cigler,Janez,Cigler,M,"Živlenje s. Heme, brumne koroške grafine",8978,1839.0,1839.0,https://books.google.si/books/about/Shivlenje_S_Heme_brumne_koroshke_grafine.html?id=DZ9bAAAAcAAJ&redir_esc=y,PriLit,
SHAME_167,Janez Mencinger-Abadon,KDSP076,Janez Mencinger,Janez,Mencinger,M,Abadon,92956,1893.0,1893.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV00174.xml,KDSP,
SHAME_168,Janez Mencinger-Moja hoja na Triglav,KDSP098,Janez Mencinger,Janez,Mencinger,M,Moja hoja na Triglav,55808,1897.0,1897.0,https://sl.wikisource.org/wiki/Moja_hoja_na_Triglav,KDSP,
SHAME_169,Janez Trdina-Bajke in povesti o Gorjancih,,Janez Trdina,Janez,Trdina,M,Bajke in povesti o Gorjancih,59401,,1882.0,https://lit.ijs.si/trdina.html ,Wikivir - leposlovje,
SHAME_170,Janko Kersnik-Agitator,KDSP049,Janko Kersnik,Janko,Kersnik,M,Agitator,26216,1885.0,1885.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV00187.xml,KDSP,
SHAME_171,Janko Kersnik-Ciklamen,KDSP040,Janko Kersnik,Janko,Kersnik,M,Ciklamen,37059,1883.0,1883.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV00058.xml,KDSP,
SHAME_172,Janko Kersnik-Jara gospoda,KDSP075,Janko Kersnik,Janko,Kersnik,M,Jara gospoda,19025,1893.0,1893.0,https://sl.wikisource.org/wiki/Jara_gospoda,KDSP,
SHAME_173,Janko Kersnik-Mačkova očeta,,Janko Kersnik,Janko,Kersnik,M,Mačkova očeta,1645,1886.0,1886.0,https://lit.ijs.si/mackovao.html ,Wikivir - leposlovje,
SHAME_174,Janko Kersnik-Na Žerinjah,KDSP023,Janko Kersnik,Janko,Kersnik,M,Na Žerinjah,32489,1876.0,1876.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV00194.xml,KDSP,
SHAME_175,Janko Kersnik-Očetov greh,KDSP080,Janko Kersnik,Janko,Kersnik,M,Očetov greh,20729,1894.0,1894.0,https://sl.wikisource.org/wiki/O%C4%8Detov_greh,KDSP,
SHAME_176,Janko Kersnik-Ponkrčev oča,,Janko Kersnik,Janko,Kersnik,M,Ponkrčev oča,2230,1882.0,1882.0,https://lit.ijs.si/ponkrc.html ,Wikivir - leposlovje,
SHAME_177,Janko Kersnik-Rošlin in Vrjanko,KDSP061,Janko Kersnik,Janko,Kersnik,M,Rošlin in Vrjanko,30864,1889.0,1889.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV10029.xml,KDSP,
SHAME_178,Jernej Dolžan-Mati božja dobrega sveta ali bratovska ljubezen,KDSP008,Jernej Dolžan,Jernej,Dolžan,M,Mati božja dobrega sveta ali bratovska ljubezen,38334,1868.0,1868.0,https://sl.wikisource.org/wiki/Mati_Bo%C5%BEja_dobrega_sveta_ali_bratovska_ljubezen,KDSP,
SHAME_179,Josip Gruden-Na vojvodskem prestolu,KDSP114,Josip Gruden,Josip,Gruden,M,Na vojvodskem prestolu,32324,1901.0,1901.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV00425.xml,KDSP,
SHAME_180,Josip Jurčič-Cvet in sad,KDSP027,Josip Jurčič,Josip,Jurčič,M,Cvet in sad,50381,1877.0,1877.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV00279.xml,KDSP,
SHAME_181,Josip Jurčič-Deseti brat,KDSP007,Josip Jurčič,Josip,Jurčič,M,Deseti brat,66550,1866.0,1866.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV10007.xml,KDSP,
SHAME_182,Josip Jurčič-Doktor Zober,KDSP022,Josip Jurčič,Josip,Jurčič,M,Doktor Zober,34318,1876.0,1876.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV10009.xml,KDSP,
SHAME_183,Josip Jurčič-Domen,KDSP004,Josip Jurčič,Josip,Jurčič,M,Domen,23493,1864.0,1864.0,https://sl.wikisource.org/wiki/Domen,KDSP,
SHAME_184,Josip Jurčič-Ivan Erazem Tatenbach,KDSP015,Josip Jurčič,Josip,Jurčič,M,Ivan Erazem Tatenbach,22468,1873.0,1873.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV10010.xml,KDSP,
SHAME_185,Josip Jurčič-Ivan Erazem Tatenbah,SLV10010,Josip Jurčič,Josip,Jurčič,M,Ivan Erazem Tatenbah,22388,1873.0,1873.0,,ELTeC,
SHAME_186,"Josip Jurčič-Jurij Kozjak, slovenski janičar",KDSP005,Josip Jurčič,Josip,Jurčič,M,"Jurij Kozjak, slovenski janičar",28699,1864.0,1864.0,https://sl.wikisource.org/wiki/Jurij_Kozjak,KDSP,
SHAME_187,Josip Jurčič-Lepa Vida,KDSP028,Josip Jurčič,Josip,Jurčič,M,Lepa Vida,21075,1877.0,1877.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV10011.xml,KDSP,
SHAME_188,Josip Jurčič-Med dvema stoloma,KDSP021,Josip Jurčič,Josip,Jurčič,M,Med dvema stoloma,21454,1876.0,1876.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV10008.xml,KDSP,
SHAME_189,Josip Jurčič-Nemški valpet: Povest,,Josip Jurčič,Josip,Jurčič,M,Nemški valpet: Povest,8006,1867.0,1867.0,https://lit.ijs.si/nem_valp.html ,Wikivir - leposlovje,
SHAME_190,Josip Jurčič-Rokovnjači,KDSP037,Josip Jurčič,Josip,Jurčič,M,Rokovnjači,49464,1881.0,1881.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV00216.xml,KDSP,
SHAME_191,Josip Jurčič-Slovenski svetec in učitelj,KDSP053,Josip Jurčič,Josip,Jurčič,M,Slovenski svetec in učitelj,43227,1886.0,1886.0,https://github.com/COST-ELTeC/ELTeC-slv/blob/v0.7.1/level1/SLV00217.xml,KDSP,
SHAME_192,Josip Jurčič-Sosedov sin: Povest,,Josip Jurčič,Josip,Jurčič,M,Sosedov sin: Povest,18739,1868.0,1868.0,https://lit.ijs.si/sosedovs.html ,Wikivir - leposlovje,
SHAME_193,Josip Jurčič-Tihotapec,KDSP006,Josip Jurčič,Josip,Jurčič,M,Tihotapec,20021,1865.0,1865.0,https://sl.wikisource.org/wiki/Tihotapec_(Josip_Jur%C4%8Di%C4%8D),KDSP,
SHAME_194,Josip Kostanjevec-Ella,KDSP124,Josip Kostanjevec,Josip,Kostanjevec,M,Ella,28989,1903.0,1903.0,https://sl.wikisource.org/wiki/Ella,KDSP,
SHAME_195,Josip Kostanjevec-Gojko Knafeljc,KDSP108,Josip Kostanjevec,Josip,Kostanjevec,M,Gojko Knafeljc,50392,1899.0,1899.0,https://sl.wikisource.org/wiki/Gojko_Knafeljc,KDSP,
SHAME_196,Josip Kostanjevec-Gozdarjevi spomini,KDSP240,Josip Kostanjevec,Josip,Kostanjevec,M,Gozdarjevi spomini,22487,1915.0,1915.0,https://sl.wikisource.org/wiki/Gozdarjevi_spomini,KDSP,
SHAME_197,Josip Kostanjevec-Iz življenja Tomaža Križaja,KDSP208,Josip Kostanjevec,Josip,Kostanjevec,M,Iz življenja Tomaža Križaja,27000,1911.0,1911.0,https://sl.wikisource.org/wiki/Iz_%C5%BEivljenja_Toma%C5%BEa_Kri%C5%BEaja,KDSP,
SHAME_198,Josip Kostanjevec-Kotanjska elita,KDSP104,Josip Kostanjevec,Josip,Kostanjevec,M,Kotanjska elita,34406,1898.0,1898.0,https://sl.wikisource.org/wiki/Kotanjska_elita,KDSP,
SHAME_199,Josip Kostanjevec-Na sončnih tleh,KDSP241,Josip Kostanjevec,Josip,Kostanjevec,M,Na sončnih tleh,39384,1915.0,1915.0,https://sl.wikisource.org/wiki/Na_soln%C4%8Dnih_tleh,KDSP,
SHAME_200,Josip Kostanjevec-Noč,KDSP120,Josip Kostanjevec,Josip,Kostanjevec,M,Noč,51200,1902.0,1902.0,https://sl.wikisource.org/wiki/No%C4%8D_(Josip_Kostanjevec),KDSP,
SHAME_201,Josip Kostanjevec-Oče in sin,KDSP222,Josip Kostanjevec,Josip,Kostanjevec,M,Oče in sin,20667,1912.0,1912.0,https://sl.wikisource.org/wiki/O%C4%8De_in_sin_(Josip_Kostanjevec),KDSP,
SHAME_202,Josip Kostanjevec-Pošteni ljudje,KDSP144,Josip Kostanjevec,Josip,Kostanjevec,M,Pošteni ljudje,24091,1905.0,1905.0,https://sl.wikisource.org/wiki/Po%C5%A1teni_ljudje,KDSP,
SHAME_203,Josip Kostanjevec-Zadnji prameni,KDSP246,Josip Kostanjevec,Josip,Kostanjevec,M,Zadnji prameni,26877,1916.0,1916.0,https://sl.wikisource.org/wiki/Zadnji_prameni,KDSP,
