prev_epoch,curr_epoch,mean_jaccard,median_jaccard,txt_type,granularity,stopwords
5,10,0.6237165657586631,0.6129032258064516,original,sentence,keep
10,15,0.774269970859944,0.7857142857142857,original,sentence,keep
15,20,0.8227082063262486,0.8348623853211009,original,sentence,keep
20,25,0.841557104857251,0.8518518518518519,original,sentence,keep
25,30,0.7912509874214694,0.8018018018018018,original,sentence,keep
30,35,0.8100555029829524,0.8018018018018018,original,sentence,keep
35,40,0.8308688188747069,0.8181818181818182,original,sentence,keep
40,45,0.7963705045046471,0.7857142857142857,original,sentence,keep
45,50,0.8069424518591347,0.8181818181818182,original,sentence,keep
50,55,0.8052774965667902,0.7857142857142857,original,sentence,keep
55,60,0.8016826875152103,0.7857142857142857,original,sentence,keep
60,65,0.8080195210477751,0.8181818181818182,original,sentence,keep
65,70,0.7977632733221853,0.8018018018018018,original,sentence,keep
70,75,0.7967775761376706,0.7857142857142857,original,sentence,keep
75,80,0.7762797647014548,0.7699115044247787,original,sentence,keep
80,85,0.7716423192534518,0.7543859649122807,original,sentence,keep
85,90,0.772835393070832,0.7543859649122807,original,sentence,keep
90,95,0.7932872849395549,0.7857142857142857,original,sentence,keep
95,100,0.7683699910339497,0.7543859649122807,original,sentence,keep
100,105,0.7736916767785803,0.7543859649122807,original,sentence,keep
105,110,0.7591341358160941,0.7391304347826086,original,sentence,keep
110,115,0.7607530563643095,0.7543859649122807,original,sentence,keep
115,120,0.7648688875175567,0.7543859649122807,original,sentence,keep
120,125,0.7580270017195865,0.7857142857142857,original,sentence,keep
125,130,0.7804137444444486,0.7699115044247787,original,sentence,keep
130,135,0.7801862600862227,0.7543859649122807,original,sentence,keep
135,140,0.7810908983944187,0.7857142857142857,original,sentence,keep
140,145,0.7851421808915583,0.7699115044247787,original,sentence,keep
145,150,0.7582743156893699,0.7543859649122807,original,sentence,keep
150,155,0.7618355258205076,0.7699115044247787,original,sentence,keep
155,160,0.7533362734355663,0.7699115044247787,original,sentence,keep
160,165,0.7622634650827504,0.7543859649122807,original,sentence,keep
165,170,0.7555227611356762,0.7699115044247787,original,sentence,keep
170,175,0.7690558353864723,0.7699115044247787,original,sentence,keep
175,180,0.7215733038194894,0.7094017094017094,original,sentence,keep
180,185,0.727668045414411,0.7391304347826086,original,sentence,keep
185,190,0.7542056479140853,0.7241379310344828,original,sentence,keep
190,195,0.7167748361997659,0.7094017094017094,original,sentence,keep
195,200,0.7120082679942522,0.7094017094017094,original,sentence,keep
200,205,0.74173880462721,0.7543859649122807,original,sentence,keep
205,210,0.726354274875949,0.7241379310344828,original,sentence,keep
210,215,0.7309862870557877,0.7241379310344828,original,sentence,keep
215,220,0.7295345848608747,0.6949152542372882,original,sentence,keep
220,225,0.7387678480393385,0.6949152542372882,original,sentence,keep
225,230,0.7463231248247344,0.7391304347826086,original,sentence,keep
230,235,0.7559574926067559,0.7543859649122807,original,sentence,keep
235,240,0.7220700864686529,0.6949152542372882,original,sentence,keep
240,245,0.7507920562110776,0.7699115044247787,original,sentence,keep
245,250,0.7314630401468151,0.7543859649122807,original,sentence,keep
250,255,0.746776526815314,0.7543859649122807,original,sentence,keep
255,260,0.745891362569813,0.7391304347826086,original,sentence,keep
260,265,0.7380317610148448,0.7241379310344828,original,sentence,keep
265,270,0.7415122596826772,0.7543859649122807,original,sentence,keep
270,275,0.7530339567354598,0.7391304347826086,original,sentence,keep
275,280,0.7382938398574338,0.7241379310344828,original,sentence,keep
280,285,0.7220177069241426,0.7543859649122807,original,sentence,keep
285,290,0.7353413621798323,0.7241379310344828,original,sentence,keep
290,295,0.7185052073260744,0.7241379310344828,original,sentence,keep
295,300,0.758516174448185,0.7543859649122807,original,sentence,keep
5,10,0.5509747105749951,0.5384615384615384,original,paragraph,remove
10,15,0.8033628229269548,0.8348623853211009,original,paragraph,remove
15,20,0.8159230236140057,0.8018018018018018,original,paragraph,remove
20,25,0.8769353881026759,0.8867924528301887,original,paragraph,remove
25,30,0.8158045599122586,0.8348623853211009,original,paragraph,remove
30,35,0.8438011286008974,0.8867924528301887,original,paragraph,remove
35,40,0.8210723738866844,0.8348623853211009,original,paragraph,remove
40,45,0.82159284607182,0.8518518518518519,original,paragraph,remove
45,50,0.8159632982882646,0.8181818181818182,original,paragraph,remove
50,55,0.8075744363116202,0.8018018018018018,original,paragraph,remove
55,60,0.8114905137468544,0.8181818181818182,original,paragraph,remove
60,65,0.8134055591736166,0.8348623853211009,original,paragraph,remove
65,70,0.8083284380637017,0.8181818181818182,original,paragraph,remove
70,75,0.7830208170440583,0.7699115044247787,original,paragraph,remove
75,80,0.7924220301896241,0.7857142857142857,original,paragraph,remove
80,85,0.7646571261746353,0.7391304347826086,original,paragraph,remove
85,90,0.7606567970891214,0.7543859649122807,original,paragraph,remove
90,95,0.7789384045138763,0.7699115044247787,original,paragraph,remove
95,100,0.7749647311967922,0.7699115044247787,original,paragraph,remove
100,105,0.7610988512200829,0.7543859649122807,original,paragraph,remove
105,110,0.7564049369910911,0.7543859649122807,original,paragraph,remove
110,115,0.7584614911730561,0.7391304347826086,original,paragraph,remove
115,120,0.7106975164506414,0.7094017094017094,original,paragraph,remove
120,125,0.7343094725284349,0.7699115044247787,original,paragraph,remove
